**** BEGIN LOGGING AT Sat Oct 22 08:48:04 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Oct 22 08:48:10 <DjAmmo>	!reqlogin ON
Apr 30 19:45:20 <Cronus>	Request from Baby_girl in #Radio on IRC: Jennifer lopez - On the floor Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 30 19:52:10 <Cronus>	Request from Baby_girl in #Radio on IRC: Ben. E. King - Stand By me for Eaton  Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 30 20:02:13 <Cronus>	Request from Baby_girl in #Radio on IRC: Indeep - Last night a DJ saved my life Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 30 20:03:15 <Cronus>	Request from Eaton in #Radio on IRC: Angel - Sarah Mclahan Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 30 20:12:18 <DjAmmo>	!reqlogin OFF
Apr 30 20:12:19 <Cronus>	You Are Now The Live DJ!
Apr 30 20:14:59 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Apr 30 20:15:25 2017

**** BEGIN LOGGING AT Tue May  2 00:53:42 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 02 00:53:47 <DjAmmo>	!reqlogin OFF
May 02 00:53:48 <Cronus>	You Are Now The Live DJ!
May 02 00:53:53 <DjAmmo>	!reqlogin ON
May 02 00:53:55 <Cronus>	You Are Now The Live DJ!
May 02 01:03:30 <Cronus>	Request from spectre in #Radio on IRC: Metallica-the unamed feeling Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 01:33:49 <Cronus>	Request from tekisui in #Radio on IRC: DjAmmo his favourite tune Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 01:39:14 <Cronus>	Request from spectre in #Radio on IRC: Metallica- Fuel Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 01:48:04 <Cronus>	Request from tekisui in #Radio on IRC: prodigy - diesel fuel Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:00:28 <Cronus>	Request from honey in #Radio on IRC: Ed Shareen.. shape of you Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:04:55 <Cronus>	Request from Guest_3393 in #Radio on IRC: Mike Posner - I took a pill in ibiza Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:16:09 <Cronus>	Request from honey in #Radio on IRC: let me love you from Justin Biber Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:25:20 <Cronus>	Request from Guest_7486 in #Radio on IRC: Alan Walker - Alone Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:25:31 <Cronus>	Request from spectre in #Radio on IRC: Metallica-King nothing Use !dedicate text to dedicate the song to the person on the IRC Channel
May 02 02:40:29 <DjAmmo>	!reqlogin OFF
May 02 02:40:30 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue May  2 02:48:40 2017

**** BEGIN LOGGING AT Fri May  5 23:42:20 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 05 23:42:24 <DjAmmo>	!reqlogin ON
May 05 23:42:29 <Cronus>	You Are Now The Live DJ!
May 06 00:28:44 <DjAmmo>	!reqlogin OFF
May 06 00:28:45 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat May  6 02:12:58 2017

**** BEGIN LOGGING AT Sun May  7 22:45:19 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 07 22:45:24 <DjAmmo>	!reqlogin ON
May 07 22:45:25 <Cronus>	You Are Now The Live DJ!
May 07 23:23:14 <DjAmmo>	!reqlogin OFF
May 07 23:23:15 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun May  7 23:43:58 2017

**** BEGIN LOGGING AT Thu May 11 00:32:34 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 11 00:32:38 <DjAmmo>	!reqlogin ON
May 11 00:32:39 <Cronus>	You Are Now The Live DJ!
May 11 00:42:41 <Cronus>	Request from UglyGuy in #Radio on IRC: Maroon 5 - Maps Use !dedicate text to dedicate the song to the person on the IRC Channel
May 11 00:53:57 <Cronus>	Request from UglyGuy in #Radio on IRC: Vanesa calrton - Thound miles Use !dedicate text to dedicate the song to the person on the IRC Channel
May 11 01:02:42 <Cronus>	Request from Danieleitajfg in #Radio on IRC: eiffiel 65 - blue Use !dedicate text to dedicate the song to the person on the IRC Channel
May 11 01:19:01 <DjAmmo>	!reqlogin OFF
May 11 01:19:02 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Thu May 11 01:22:39 2017

**** BEGIN LOGGING AT Fri May 12 01:00:49 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 12 01:00:54 <DjAmmo>	!reqlogin OFF
May 12 01:00:55 <Cronus>	You Are Now The Live DJ!
May 12 02:00:51 <DjAmmo>	!reqlogin ON
May 12 02:00:52 <Cronus>	You Are Now The Live DJ!
May 12 02:03:04 <Cronus>	Request from Kitten in #Radio on IRC: https://www.youtube.com/watch?v=nnAy1906EHg Use !dedicate text to dedicate the song to the person on the IRC Channel
May 12 02:08:28 <Cronus>	Request from Kitten in #Radio on IRC: https://www.youtube.com/watch?v=EazZgNnqnvU Use !dedicate text to dedicate the song to the person on the IRC Channel
May 12 02:10:57 <Cronus>	Request from Kitten in #Radio on IRC: https://www.youtube.com/watch?v=ALZHF5UqnU4 Use !dedicate text to dedicate the song to the person on the IRC Channel
May 12 02:21:18 <Cronus>	Request from Guest_3669 in #Radio on IRC: Alan WAlker - Faded Use !dedicate text to dedicate the song to the person on the IRC Channel
May 12 02:38:10 <DjAmmo>	!reqlogin OFF
May 12 02:38:11 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Fri May 12 02:50:00 2017

**** BEGIN LOGGING AT Sat May 13 00:33:29 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 13 00:33:34 <DjAmmo>	!reqlogin ON
May 13 00:33:36 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat May 13 01:57:20 2017

**** BEGIN LOGGING AT Sat May 13 23:00:13 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 13 23:00:19 <DjAmmo>	!reqlogin ON
May 13 23:00:20 <Cronus>	You Are Now The Live DJ!
May 13 23:06:19 <Cronus>	Request from Skitten in #Radio on IRC: Ed Sheeran - Shape of you Use !dedicate text to dedicate the song to the person on the IRC Channel
May 13 23:17:19 <Cronus>	Request from Skitten in #Radio on IRC: Oasis - Wonderwall Use !dedicate text to dedicate the song to the person on the IRC Channel
May 13 23:27:56 <Cronus>	Request from Skitten in #Radio on IRC: Snow patrol - Chasing cars Use !dedicate text to dedicate the song to the person on the IRC Channel
May 14 00:13:43 <DjAmmo>	!reqlogin OFF
May 14 00:13:44 <Cronus>	You Are Now The Live DJ!
May 14 00:49:58 <DjAmmo>	!reqlogin ON
May 14 00:49:59 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun May 14 01:47:52 2017

**** BEGIN LOGGING AT Mon May 15 16:10:39 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 15 16:10:44 <DjAmmo>	!reqlogin ON
May 15 16:10:45 <Cronus>	You Are Now The Live DJ!
May 15 16:43:42 <DjAmmo>	!reqlogin OFF
May 15 16:43:42 <Cronus>	You Are Now The Live DJ!
May 15 17:01:23 <DjAmmo>	!reqlogin ON
May 15 17:01:23 <Cronus>	You Are Now The Live DJ!
May 15 17:50:20 <DjAmmo>	!reqlogin OFF
May 15 17:50:21 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Mon May 15 17:57:02 2017

**** BEGIN LOGGING AT Tue May 16 02:36:07 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 16 02:36:12 <DjAmmo>	!reqlogin OFF
May 16 02:36:12 <Cronus>	You Are Now The Live DJ!
May 16 03:26:43 <DjAmmo>	!reqlogin ON
May 16 03:26:44 <Cronus>	You Are Now The Live DJ!
May 16 03:38:24 <Cronus>	Request from Guest_7890 in #Radio on IRC: Alice Deejay - Better Off Alone Use !dedicate text to dedicate the song to the person on the IRC Channel
May 16 03:49:17 <Cronus>	Request from Guest_7890 in #Radio on IRC: Whigfield - Saturday Night Use !dedicate text to dedicate the song to the person on the IRC Channel
May 16 03:58:49 <Cronus>	Request from tekisui in #Radio on IRC: DjAmmo favourite indian club song Use !dedicate text to dedicate the song to the person on the IRC Channel
May 16 04:16:22 <DjAmmo>	!reqlogin OFF
May 16 04:16:22 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue May 16 04:20:38 2017

**** BEGIN LOGGING AT Sat May 20 02:09:18 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 20 02:09:25 <DjAmmo>	!reqlogin OFF
May 20 02:09:26 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat May 20 04:36:24 2017

**** BEGIN LOGGING AT Wed May 24 01:08:19 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 24 01:08:23 <DjAmmo>	!reqlogin OFF
May 24 01:08:26 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Wed May 24 03:03:31 2017

**** BEGIN LOGGING AT Thu May 25 01:27:46 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 25 01:27:52 <DjAmmo>	!reqlogin OFF
May 25 01:27:53 <Cronus>	You Are Now The Live DJ!
May 25 02:38:48 <DjAmmo>	!reqlogin ON
May 25 02:38:49 <Cronus>	You Are Now The Live DJ!
May 25 02:50:53 <Cronus>	Request from _london in #Radio on IRC: Nadia Ali "Rapture" (Avicii Remix) Use !dedicate text to dedicate the song to the person on the IRC Channel
May 25 02:56:53 <Cronus>	Request from Guest_6713 in #Radio on IRC: Ian van Dahl Castles in the sky Use !dedicate text to dedicate the song to the person on the IRC Channel
May 25 03:05:36 <Cronus>	Request from _london in #Radio on IRC: Scooter - The Logical Song Use !dedicate text to dedicate the song to the person on the IRC Channel
May 25 03:18:04 <DjAmmo>	!reqlogin OFF
May 25 03:18:04 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Thu May 25 03:30:32 2017

**** BEGIN LOGGING AT Sat May 27 10:43:09 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 27 10:43:14 <DjAmmo>	!reqlogin OFF
May 27 10:43:15 <Cronus>	You Are Now The Live DJ!
May 27 10:43:17 <DjAmmo>	!reqlogin ON
May 27 10:43:19 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat May 27 11:59:28 2017

**** BEGIN LOGGING AT Mon May 29 15:05:11 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
May 29 15:05:18 <DjAmmo>	!reqlogin ON
May 29 15:05:18 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Mon May 29 20:47:00 2017

